step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
139,CASH_IN,52605.39,268528.76,321134.14,250818.0,0.0
332,PAYMENT,7153.78,0.0,0.0,0.0,0.0
522,CASH_IN,419448.18,48571.0,468019.18,534669.93,115221.75
260,PAYMENT,11079.27,57981.0,46901.73,0.0,0.0
203,CASH_IN,114948.32,3166078.97,3281027.29,638624.67,523676.35
279,CASH_OUT,222135.51,56311.0,0.0,167393.37,389528.88
347,CASH_OUT,149604.57,219912.0,70307.43,78457.13,228061.7
157,CASH_OUT,311250.9,0.0,0.0,12294566.7,12605817.59
44,CASH_IN,20193.66,53481.0,73674.66,84372.55,64178.89
160,CASH_OUT,33073.51,0.0,0.0,498415.77,531489.28
206,CASH_OUT,224039.24,0.0,0.0,1290031.51,1514070.75
159,PAYMENT,1841.3,10883.0,9041.7,0.0,0.0
374,CASH_OUT,140486.64,10242.0,0.0,287166.21,427652.85
379,CASH_IN,267410.43,19942.0,287352.43,3823496.43,3556086.0
276,TRANSFER,684364.46,41370.0,0.0,4273929.6,4958294.06
37,PAYMENT,17229.77,259412.83,242183.06,0.0,0.0
136,PAYMENT,136.54,0.0,0.0,0.0,0.0
331,PAYMENT,25114.32,0.0,0.0,0.0,0.0
227,CASH_OUT,68871.7,111000.0,42128.3,4770971.27,4839842.97
617,CASH_OUT,621034.85,621034.85,0.0,0.0,621034.85
184,TRANSFER,120478.83,110193.0,0.0,0.0,120478.83
210,CASH_OUT,437154.35,320.0,0.0,29401.25,466555.6
208,TRANSFER,134861.82,134861.82,0.0,0.0,0.0
10,PAYMENT,13479.02,0.0,0.0,0.0,0.0
164,PAYMENT,14485.69,44189.08,29703.39,0.0,0.0
402,PAYMENT,15119.6,0.0,0.0,0.0,0.0
382,PAYMENT,12554.65,0.0,0.0,0.0,0.0
252,PAYMENT,11094.51,212472.02,201377.51,0.0,0.0
332,CASH_IN,163724.32,49839.0,213563.32,1867261.81,1703537.49
690,PAYMENT,1684.5,0.0,0.0,0.0,0.0
138,PAYMENT,4713.87,12564.0,7850.13,0.0,0.0
184,CASH_IN,209584.53,3017482.05,3227066.59,224041.96,14457.42
404,CASH_OUT,10000000.0,10000000.0,0.0,358443.32,10358443.32
380,CASH_OUT,150958.02,0.0,0.0,3716015.75,3866973.77
688,PAYMENT,9649.73,0.0,0.0,0.0,0.0
